MRT,Latitude,Longitude,PLN_AREA_N
ONE-NORTH MRT STATION,1.299689535,103.7874128,QUEENSTOWN
ORCHARD BOULEVARD MRT STATION,1.303623073,103.8236504,CENTRAL AREA
ORCHARD MRT STATION,1.302422248,103.8238685,CENTRAL AREA
OUTRAM PARK MRT STATION,1.279739707,103.8395135,OUTRAM
PASIR PANJANG MRT STATION,1.276213522,103.7913503,QUEENSTOWN
PASIR RIS MRT STATION,1.37300805,103.9492651,PASIR RIS
PAYA LEBAR MRT STATION,1.317095299,103.8923848,GEYLANG
PIONEER MRT STATION,1.337587011,103.6973216,JURONG WEST
POTONG PASIR MRT STATION,1.33137949,103.8690557,TOA PAYOH
PROMENADE MRT STATION,1.293997986,103.86035,CENTRAL AREA
PUNGGOL MRT STATION,1.405132585,103.902374,PUNGGOL
QUEENSTOWN MRT STATION,1.294550852,103.8060772,QUEENSTOWN
RAFFLES PLACE MRT STATION,1.283933262,103.8514631,CENTRAL AREA
REDHILL MRT STATION,1.289634534,103.816741,BUKIT MERAH
ROCHOR MRT STATION,1.303852185,103.8527694,CENTRAL AREA
SEMBAWANG MRT STATION,1.449050822,103.8200461,SEMBAWANG
SENGKANG MRT STATION,1.391694626,103.8954847,SENGKANG
SERANGOON MRT STATION,1.350633615,103.8727717,SERANGOON
SHENTON WAY MRT STATION,1.277716828,103.8503676,CENTRAL AREA
SIMEI MRT STATION,1.343197079,103.9533772,TAMPINES
SIXTH AVENUE MRT STATION,1.330960581,103.7969693,BUKIT TIMAH
SOMERSET MRT STATION,1.300264167,103.8390858,CENTRAL AREA
SPRINGLEAF MRT STATION,1.397581061,103.8178569,YISHUN
STADIUM MRT STATION,1.302812468,103.8753377,KALLANG/WHAMPOA
STEVENS MRT STATION,1.320065558,103.8260244,TANGLIN
TAI SENG MRT STATION,1.335145642,103.8883361,TOA PAYOH
TAMPINES EAST MRT STATION,1.356191483,103.9546345,TAMPINES
TAMPINES MRT STATION,1.345515306,103.938437,TAMPINES
TAMPINES WEST MRT STATION,1.345515306,103.938437,TAMPINES
TAN KAH KEE MRT STATION,1.326392241,103.8065482,BUKIT TIMAH
TANAH MERAH MRT STATION,1.327310982,103.9464517,BEDOK
TANJONG PAGAR MRT STATION,1.276568292,103.8460067,CENTRAL AREA
TELOK AYER MRT STATION,1.282068948,103.8486488,CENTRAL AREA
TELOK BLANGAH MRT STATION,1.270706478,103.8097616,BUKIT MERAH
TIONG BAHRU MRT STATION,1.286124865,103.8270759,BUKIT MERAH
TOA PAYOH MRT STATION,1.332596728,103.8475773,TOA PAYOH
TUAS CRESCENT MRT STATION,1.321026956,103.6490782,TUAS
TUAS LINK MRT STATION,1.340882425,103.6369914,TUAS
TUAS WEST ROAD MRT STATION,1.329985047,103.6396166,TUAS
UBI MRT STATION,1.32997426,103.8992267,GEYLANG
UPPER CHANGI MRT STATION,1.341739774,103.9614728,TAMPINES
UPPER THOMSON MRT STATION,1.354416434,103.8328985,TOA PAYOH
WOODLANDS MRT STATION,1.436057617,103.7879388,WOODLANDS
WOODLANDS NORTH MRT STATION,1.447782173,103.7851355,WOODLANDS
WOODLANDS SOUTH MRT STATION,1.427488114,103.7927299,WOODLANDS
WOODLEIGH MRT STATION,1.339190045,103.8708183,TOA PAYOH
YEW TEE MRT STATION,1.39757979,103.7474595,CHOA CHU KANG
YIO CHU KANG MRT STATION,1.3816826,103.8449911,ANG MO KIO
YISHUN MRT STATION,1.429443085,103.835005,YISHUN
